,make,model,modelTypeName,color,driveType,price,totalOwners,kilometers,seats,power,batteryCapacity,electricRange,isSuv,metallicColor,airconditioning,parking_sensors,satellite_navigator,cruise_control_adaptive,parking_camera_simple_camera,seat_heaters,driving_assistant,alloy_wheels,electric_mirrors,lane_departure_warning_system,electrically_operated_tailgate,leather_upholstery,emergency_brake_assist,collision_avoidance_system,cruise_control_traditional,parking_assistant,tow_bar,electric_seats_with_memory,heated_steering_wheel,sunroof,sun_hatch_with_panorama,adaptive_headlights,sport_seats,fuel_battery_powered_heater,parking_camera_360-degree_camera,battery_preheating,electric_seats_without_memory,air_suspension,curve_lights,head_up_display,"sport_base,"
59,polestar,2,"Long Range Dual Motor, 300kW, 78kWh #Pilot + Plus Pack#",black,4wd,58900.0,1,7000.0,5,300.0,75.0,,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False
60,tesla,model 3,Long Range Dual AWD 77 kWh,black,4wd,45000.0,1,25883.0,5,349.0,78.75,580.0,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
61,ford,mustang mach-e,75kWh 269hv RWD 5-ovinen // Adaptiivinen cruise / Kamera / LED //,black,rwd,42990.0,1,34000.0,5,,75.0,,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,dacia,spring,"Bluetooth, navi, isofix, nahka, peruutuskamera, toimitus kotiin! Toimintamatka jopa 225 km per täysilataus! Edullinen!",silver,fwd,19690.0,1,6490.0,5,,33.0,,False,False,False,True,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63,porsche,taycan,"WLTP 400km, HUD, Bose, Ilma-alusta, PDLS Plus, Panorama, 360-kamera - Korkotarjous 3,99%+kulut",gray,rwd,93490.0,1,32000.0,5,300.0,71.0,400.0,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False
64,tesla,model 3,Performance. Lasikatto. Rahoitus. 2x renkaat,white,4wd,52000.0,1,64000.0,5,340.0,78.75,,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False
65,volkswagen,id3,"Pro S 150 kW, 77 kWh, 4-paikkainen (Kahdet renkaat, Lämpöpumppu, Design-paketti, ACC, WLTP 550km)",black,rwd,41890.0,1,46000.0,4,,77.0,550.0,False,False,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
66,porsche,taycan,"350 kW / Perf. Battery+, Lämpöpumppu, Huippu varusteet, Valkoinen metalliväri viistoperä henkilöauto",white,rwd,96990.0,1,46990.0,5,350.0,93.4,484.0,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,True,True,False,True
67,peugeot,e-2008,Electric Engine 136 Allure Pack / Kamera / Tutka / Ledit / Juuri huollettu / Yms. / Käsiraha alk. 0€ / **** LänsiAuto Sa,blue,fwd,27590.0,1,19000.0,5,4.0,50.0,,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,tesla,model 3,"ILP, Sähk. takaluukku, Panoramakatto, Autopilot *Vaihto *Rahoitus *Takuu",white,rwd,46000.0,1,35000.0,5,211.0,0.0,,False,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False
69,opel,mokka-e,"Mokka-e 136-hv Executive Aut 50-kWh *11-kWh 3-vaihelaturi, 5-vuoden takuu*",blue,fwd,32999.0,1,15000.0,5,100.0,50.0,,True,True,True,True,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,kia,niro,Busines luxor 64kw,blue,fwd,35900.0,1,28000.0,5,152.0,68.0,455.0,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False
71,smart,fortwo,"coupé EQ *** Korkotarjous 4,9% + kulut",other,rwd,15880.0,1,14500.0,2,,0.0,,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
72,mercedes-benz,eqa,* Amg paketoitu ( ! ) *,gray,fwd,48500.0,1,29000.0,5,,0.0,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
73,audi,e-tron gt rs,"Kaikki varusteet! Carbon+tummaoptiikka paketit, LED+LASER, B&O, Night V., HUD, Ilm.+Läm.+Hier. ist,Tekn.-PLUS+RS-Desing",gray,4wd,124900.0,1,17000.0,5,440.0,93.4,488.0,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,True,False,True,False,False,True,True,True,True
74,mercedes-benz,eqc,"takuu 11/23, Rahoitus alkaen 3,99%",black,4wd,55450.0,1,37000.0,5,300.0,80.0,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False
