,id,vehicleType,make,model,modelType,color,colorType,driveType,accessories,price,totalOwners,kilometers,seats,doors,power,batteryCapacity,batteryGuaranteeMonth,batteryGuaranteeKm,electricRange,chargingType,chargingPower,maximumChargingPower
43,13739274,Car,Skoda,Enyaq,,Black,Nonmetallic,Four wheel,"Tow bar,Two sets of tyres,Cruise control: Adaptive,Electric seats: With memory,Electrically operated tailgate",54900.0,,32000.0,5.0,5.0,,82.0,,160000.0,499.0,CCS,135.0,135.0
44,13740270,Car,Mercedes-Benz,EQE,,Black,Not available,Rear wheel,"Two sets of tyres,Leather upholstery,Airbag,Sun hatch: With panorama,Electric mirrors,Multiactive Steering Wheel,Sunroof,Parking camera: Simple camera,Tire-pressure monitoring system,Smartphone integration",68490.0,,66000.0,5.0,4.0,215.0,0.0,,,,,,
45,13740891,Car,Lexus,UX,,White,Nonmetallic,Front wheel,"Central locking: Remote control,Alloy wheels,Two sets of tyres,Airconditioning: Manual,Leather upholstery,Radio,Bluetooth,Cruise control: Adaptive,Parking sensors,Rain Sensor,Keyless start,Parking camera: Simple camera",43900.0,,5000.0,5.0,4.0,150.0,54.0,,,309.0,CHAdeMO,50.0,50.0
46,13741618,Car,BMW,i4,,Black,Metallic,Rear wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,On board computer,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Hands-free kit,Isofix-ready,Keyless start,Ski hatch,Electrically operated tailgate,LED-headlights,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Head-Up display,Smartphone integration,Adaptive headlights,Collision avoidance system,Blind spot sensor",74450.0,,6000.0,5.0,4.0,250.0,84.0,,,,,,
47,13741635,Car,Ford,Mustang Mach-E,,Black,Nonmetallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,MP3,Bluetooth,Alarm system,Traction control,Cruise control: Adaptive,Electric seats: Without memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Keyless start,Heated windshield,Ski hatch,LED-headlights,Parking Assistant,Parking camera: Simple camera,Plug-in charging for hybrid vehicles,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats,Battery preheating",58790.0,,23000.0,5.0,4.0,,98.0,,160000.0,540.0,CCS,150.0,150.0
48,13741644,Car,Mercedes-Benz,EQB,,Blue,Nonmetallic,Four wheel,"Central locking: Remote control,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Bluetooth,Cruise control: Traditional,Fuel / battery powered heater,On board computer,Seat heaters,Driving assistant,Multiactive Steering Wheel,Isofix-ready,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Smartphone integration",56800.0,,12000.0,5.0,5.0,215.0,66.5,,,419.0,"CCS,Schuko",100.0,100.0
49,13741659,Car,Polestar,2,,Other,Nonmetallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Alarm system,Sun hatch: With panorama,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Sunroof,Isofix-ready,Curve lights,Auto hold,Keyless start,Ski hatch,Electrically operated tailgate,Cargo safety net,LED-headlights,Sport seats,Parking Assistant,Parking camera: Simple camera,Tire-pressure monitoring system,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats",56700.0,,13000.0,5.0,4.0,350.0,78.0,,160000.0,482.0,CCS,155.0,155.0
50,13742019,Car,Kia,EV6,,Red,Not available,Four wheel,"Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Satellite navigator,Driving assistant,Rain Sensor,Hands-free kit,Isofix-ready,Auto hold,Keyless start,LED-headlights,Parking camera: Simple camera,Traffic sign recognition,Lane departure warning system,Emergency brake assist",52800.0,,32000.0,5.0,5.0,5.0,0.0,,,,,,
51,13743832,Car,Mercedes-Benz,EQE,,White,Not available,Rear wheel,"Central locking: Keyless,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Airbag,Service manual: Paper,Traction control,On board computer,Seat heaters,Electric mirrors,Satellite navigator,Driving assistant,Multiactive Steering Wheel,Sport seats,Traffic sign recognition",74800.0,,6000.0,5.0,4.0,180.0,0.0,,,,,,
52,13743929,Car,Hyundai,Kona,,Blue,Not available,Front wheel,"Central locking: Remote control,Power windows,Airconditioning: Automatic,Leather upholstery,ABS brakes,Traction control,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Multiactive Steering Wheel,Hands-free kit,Isofix-ready,LED-headlights,Parking camera: Simple camera,Lane departure warning system",25330.0,,12900.0,5.0,5.0,100.0,42.0,,,305.0,CCS,50.0,
